index,ticker,time,price_to_book,median_vol,raise_from_lowest_price,raise_from_highest_price
516,ASP,2022-12-31,0.4,38791.5,x2,x2
517,ASP,2023-03-31,0.5,38791.5,x2,x2
518,ASP,2023-06-30,0.5,38791.5,x2,x2
519,ASP,2023-09-30,0.5,38791.5,x2,x2
520,ASP,2023-12-31,0.4,38791.5,x2,x2
521,ASP,2024-03-31,0.5,38791.5,x2,x2
522,ASP,2024-06-30,0.7,38791.5,x2,x2
523,ASP,2024-09-30,0.5,38791.5,x2,x2
524,BAB,2024-09-30,0.9,5514.0,x1.5,N
525,BCA,2022-06-30,0.8,42875.5,x2,N
526,BCA,2022-09-30,0.6,42875.5,x2,N
527,BCA,2022-12-31,0.4,42875.5,x2,N
528,BCA,2023-03-31,0.6,42875.5,x2,N
529,BCA,2023-06-30,0.6,42875.5,x2,N
530,BCA,2023-09-30,0.9,42875.5,x2,N
531,BCA,2023-12-31,0.2,42875.5,x2,N
532,BCA,2024-03-31,0.7,42875.5,x2,N
533,BCA,2024-06-30,0.6,42875.5,x2,N
534,BCA,2024-09-30,0.4,42875.5,x2,N
535,BCC,2015-06-30,0.8,285081.0,x2,N
536,BCC,2015-09-30,0.7,285081.0,x2,N
537,BCC,2015-12-31,0.7,285081.0,x2,N
538,BCC,2016-03-31,0.8,285081.0,x2,N
539,BCC,2016-06-30,0.7,285081.0,x2,N
540,BCC,2016-09-30,0.9,285081.0,x2,N
541,BCC,2016-12-31,0.8,285081.0,x2,N
542,BCC,2017-03-31,0.8,285081.0,x2,N
543,BCC,2017-06-30,0.8,285081.0,x2,N
544,BCC,2017-09-30,0.5,285081.0,x2,N
545,BCC,2017-12-31,0.5,285081.0,x2,N
546,BCC,2018-03-31,0.5,285081.0,x2,N
547,BCC,2018-06-30,0.4,285081.0,x2,N
548,BCC,2018-09-30,0.5,285081.0,x2,N
549,BCC,2018-12-31,0.4,285081.0,x2,N
550,BCC,2019-03-31,0.5,285081.0,x2,N
551,BCC,2019-06-30,0.5,285081.0,x2,N
552,BCC,2019-09-30,0.4,285081.0,x2,N
553,BCC,2019-12-31,0.4,285081.0,x2,N
554,BCC,2020-03-31,0.3,285081.0,x2,N
555,BCC,2020-06-30,0.4,285081.0,x2,N
556,BCC,2020-09-30,0.4,285081.0,x2,N
557,BCC,2020-12-31,0.5,285081.0,x2,N
558,BCC,2021-03-31,0.6,285081.0,x2,N
559,BCC,2021-06-30,0.6,285081.0,x2,N
560,BCC,2022-06-30,0.7,285081.0,x2,N
561,BCC,2022-09-30,0.7,285081.0,x2,N
562,BCC,2022-12-31,0.5,285081.0,x2,N
563,BCC,2023-03-31,0.7,285081.0,x2,N
564,BCC,2023-06-30,0.8,285081.0,x2,N
565,BCC,2023-09-30,0.7,285081.0,x2,N
566,BCC,2023-12-31,0.6,285081.0,x2,N
567,BCC,2024-03-31,0.7,285081.0,x2,N
568,BCC,2024-06-30,0.6,285081.0,x2,N
569,BCC,2024-09-30,0.5,285081.0,x2,N
570,BCE,2015-03-31,0.4,42995.5,x1.5,N
571,BCE,2015-06-30,0.4,42995.5,x1.5,N
572,BCE,2015-09-30,0.3,42995.5,x1.5,N
573,BCE,2015-12-31,0.3,42995.5,x1.5,N
574,BCE,2016-03-31,0.3,42995.5,x1.5,N
575,BCE,2016-06-30,0.3,42995.5,x1.5,N
576,BCE,2016-09-30,0.4,42995.5,x1.5,N
577,BCE,2016-12-31,0.3,42995.5,x1.5,N
578,BCE,2017-03-31,0.3,42995.5,x1.5,N
579,BCE,2017-06-30,0.4,42995.5,x1.5,N
580,BCE,2017-09-30,0.4,42995.5,x1.5,N
581,BCE,2017-12-31,0.3,42995.5,x1.5,N
582,BCE,2018-03-31,0.4,42995.5,x1.5,N
583,BCE,2018-06-30,0.4,42995.5,x1.5,N
584,BCE,2018-09-30,0.4,42995.5,x1.5,N
585,BCE,2018-12-31,0.4,42995.5,x1.5,N
586,BCE,2019-03-31,0.4,42995.5,x1.5,N
587,BCE,2019-06-30,0.5,42995.5,x1.5,N
588,BCE,2019-09-30,0.6,42995.5,x1.5,N
589,BCE,2019-12-31,0.5,42995.5,x1.5,N
590,BCE,2020-03-31,0.5,42995.5,x1.5,N
591,BCE,2020-06-30,0.7,42995.5,x1.5,N
592,BCE,2020-09-30,0.7,42995.5,x1.5,N
593,BCE,2022-06-30,0.8,42995.5,x1.5,N
594,BCE,2022-09-30,0.8,42995.5,x1.5,N
595,BCE,2022-12-31,0.6,42995.5,x1.5,N
596,BCE,2023-03-31,0.6,42995.5,x1.5,N
597,BCE,2023-06-30,0.8,42995.5,x1.5,N
598,BCE,2023-09-30,0.6,42995.5,x1.5,N
599,BCE,2023-12-31,0.6,42995.5,x1.5,N
600,BCE,2024-03-31,0.6,42995.5,x1.5,N
601,BCE,2024-06-30,0.6,42995.5,x1.5,N
602,BCE,2024-09-30,0.7,42995.5,x1.5,N
603,BCG,2022-12-31,0.7,5963235.0,x1.5,N
604,BCG,2023-03-31,0.8,5963235.0,x1.5,N
605,BCG,2024-06-30,0.7,5963235.0,x1.5,N
606,BCG,2024-09-30,0.6,5963235.0,x1.5,N
607,BDT,2018-06-30,0.7,31218.5,x2,N
608,BDT,2018-09-30,0.6,31218.5,x2,N
609,BDT,2018-12-31,0.6,31218.5,x2,N
610,BDT,2019-03-31,0.7,31218.5,x2,N
611,BDT,2019-06-30,0.9,31218.5,x2,N
612,BDT,2019-12-31,0.8,31218.5,x2,N
613,BDT,2020-03-31,0.9,31218.5,x2,N
614,BDT,2023-12-31,0.9,31218.5,x2,N
615,BDT,2024-03-31,0.9,31218.5,x2,N
616,BDT,2024-06-30,0.7,31218.5,x2,N
617,BDT,2024-09-30,0.5,31218.5,x2,N
618,BFC,2016-03-31,0.9,304372.5,x2,x2
619,BFC,2019-09-30,0.8,304372.5,x2,x2
620,BFC,2019-12-31,0.6,304372.5,x2,x2
621,BFC,2020-03-31,0.5,304372.5,x2,x2
622,BFC,2020-06-30,0.6,304372.5,x2,x2
623,BFC,2020-09-30,0.9,304372.5,x2,x2
624,BFC,2020-12-31,0.9,304372.5,x2,x2
625,BFC,2022-12-31,0.7,304372.5,x2,x2
626,BFC,2023-03-31,0.8,304372.5,x2,x2
627,BIC,2015-12-31,0.9,56242.5,x2,x1.5
628,BIC,2019-06-30,0.9,56242.5,x2,x1.5
629,BIC,2020-06-30,0.9,56242.5,x2,x1.5
630,BIC,2020-09-30,0.9,56242.5,x2,x1.5
631,BKG,2022-06-30,0.5,99550.5,x1.5,N
632,BKG,2022-09-30,0.5,99550.5,x1.5,N
633,BKG,2022-12-31,0.3,99550.5,x1.5,N
634,BKG,2023-03-31,0.4,99550.5,x1.5,N
635,BKG,2023-06-30,0.4,99550.5,x1.5,N
636,BKG,2023-09-30,0.4,99550.5,x1.5,N
637,BKG,2023-12-31,0.4,99550.5,x1.5,N
638,BKG,2024-03-31,0.4,99550.5,x1.5,N
639,BKG,2024-06-30,0.4,99550.5,x1.5,N
640,BKG,2024-09-30,0.3,99550.5,x1.5,N
641,BLI,2017-06-30,0.5,5900.0,x2,N
642,BLI,2017-09-30,0.5,5900.0,x2,N
643,BLI,2017-12-31,0.5,5900.0,x2,N
644,BLI,2018-03-31,0.5,5900.0,x2,N
645,BLI,2018-06-30,0.4,5900.0,x2,N
646,BLI,2018-09-30,0.4,5900.0,x2,N
647,BLI,2018-12-31,0.5,5900.0,x2,N
648,BLI,2019-03-31,0.4,5900.0,x2,N
649,BLI,2019-06-30,0.4,5900.0,x2,N
650,BLI,2019-09-30,0.5,5900.0,x2,N
651,BLI,2019-12-31,0.6,5900.0,x2,N
652,BLI,2020-03-31,0.4,5900.0,x2,N
653,BLI,2020-06-30,0.5,5900.0,x2,N
654,BLI,2020-09-30,0.5,5900.0,x2,N
655,BLI,2020-12-31,0.7,5900.0,x2,N
656,BLI,2023-03-31,0.9,5900.0,x2,N
657,BLI,2023-06-30,0.9,5900.0,x2,N
658,BLI,2023-09-30,0.9,5900.0,x2,N
659,BLI,2023-12-31,0.8,5900.0,x2,N
660,BLI,2024-03-31,0.8,5900.0,x2,N
661,BLI,2024-06-30,0.8,5900.0,x2,N
662,BLI,2024-09-30,0.6,5900.0,x2,N
663,BMC,2015-03-31,0.8,38455.0,x2,N
664,BMC,2015-06-30,0.9,38455.0,x2,N
665,BMC,2015-09-30,0.7,38455.0,x2,N
666,BMC,2015-12-31,0.7,38455.0,x2,N
667,BMC,2016-03-31,0.9,38455.0,x2,N
668,BMC,2016-06-30,0.8,38455.0,x2,N
669,BMC,2016-09-30,0.8,38455.0,x2,N
670,BMC,2016-12-31,0.8,38455.0,x2,N
671,BMC,2017-09-30,0.9,38455.0,x2,N
672,BMC,2017-12-31,0.8,38455.0,x2,N
673,BMC,2018-03-31,0.7,38455.0,x2,N
674,BMC,2018-06-30,0.8,38455.0,x2,N
675,BMC,2018-09-30,0.8,38455.0,x2,N
676,BMC,2018-12-31,0.8,38455.0,x2,N
677,BMC,2019-03-31,0.8,38455.0,x2,N
678,BMC,2019-06-30,0.9,38455.0,x2,N
679,BMC,2019-09-30,0.9,38455.0,x2,N
680,BMC,2019-12-31,0.8,38455.0,x2,N
681,BMC,2020-03-31,0.5,38455.0,x2,N
682,BMC,2020-06-30,0.6,38455.0,x2,N
683,BMC,2020-09-30,0.6,38455.0,x2,N
684,BMC,2020-12-31,0.8,38455.0,x2,N
685,BMC,2021-06-30,0.9,38455.0,x2,N
686,BMC,2022-06-30,0.6,38455.0,x2,N
687,BMC,2022-09-30,0.9,38455.0,x2,N
688,BMC,2022-12-31,0.6,38455.0,x2,N
689,BMC,2023-03-31,0.6,38455.0,x2,N
690,BMC,2023-06-30,0.7,38455.0,x2,N
691,BMC,2023-09-30,0.8,38455.0,x2,N
692,BMC,2023-12-31,0.8,38455.0,x2,N
693,BMI,2015-03-31,0.4,154574.0,x2,N
694,BMI,2015-06-30,0.5,154574.0,x2,N
695,BMI,2015-09-30,0.6,154574.0,x2,N
696,BMI,2015-12-31,0.7,154574.0,x2,N
697,BMI,2016-03-31,0.7,154574.0,x2,N
698,BMI,2016-06-30,0.7,154574.0,x2,N
699,BMI,2016-12-31,0.8,154574.0,x2,N
700,BMI,2017-03-31,0.9,154574.0,x2,N
701,BMI,2018-06-30,0.7,154574.0,x2,N
702,BMI,2018-09-30,0.8,154574.0,x2,N
703,BMI,2018-12-31,0.7,154574.0,x2,N
704,BMI,2019-03-31,0.8,154574.0,x2,N
705,BMI,2019-06-30,0.9,154574.0,x2,N
706,BMI,2019-09-30,0.9,154574.0,x2,N
707,BMI,2019-12-31,0.9,154574.0,x2,N
708,BMI,2020-03-31,0.5,154574.0,x2,N
709,BMI,2020-06-30,0.8,154574.0,x2,N
710,BMI,2022-12-31,0.9,154574.0,x2,N
711,BMP,2020-03-31,0.9,207342.5,x2,x2
712,BMS,2019-09-30,0.4,131737.0,x2,N
713,BMS,2019-12-31,0.4,131737.0,x2,N
714,BMS,2020-03-31,0.2,131737.0,x2,N
715,BMS,2020-06-30,0.3,131737.0,x2,N
716,BMS,2020-09-30,0.6,131737.0,x2,N
717,BMS,2020-12-31,0.4,131737.0,x2,N
718,BMS,2021-03-31,0.6,131737.0,x2,N
719,BMS,2022-06-30,0.7,131737.0,x2,N
720,BMS,2022-09-30,0.7,131737.0,x2,N
721,BMS,2022-12-31,0.4,131737.0,x2,N
722,BMS,2023-03-31,0.5,131737.0,x2,N
723,BMS,2023-06-30,0.7,131737.0,x2,N
724,BMS,2023-12-31,0.9,131737.0,x2,N
725,BMS,2024-06-30,0.8,131737.0,x2,N
726,BMS,2024-09-30,0.8,131737.0,x2,N
727,BNA,2022-09-30,0.9,90621.5,x1.5,N
728,BNA,2022-12-31,0.6,90621.5,x1.5,N
729,BNA,2023-03-31,0.6,90621.5,x1.5,N
730,BNA,2023-06-30,0.7,90621.5,x1.5,N
731,BNA,2023-09-30,0.7,90621.5,x1.5,N
732,BNA,2023-12-31,0.6,90621.5,x1.5,N
733,BNA,2024-03-31,0.6,90621.5,x1.5,N
734,BNA,2024-06-30,0.6,90621.5,x1.5,N
735,BNA,2024-09-30,0.6,90621.5,x1.5,N
736,BOT,2022-12-31,0.7,384301.0,x2,x1.5
737,BOT,2023-03-31,0.7,384301.0,x2,x1.5
738,BRC,2015-03-31,0.4,3150.0,x1.5,N
739,BRC,2015-06-30,0.4,3150.0,x1.5,N
740,BRC,2015-09-30,0.4,3150.0,x1.5,N
741,BRC,2015-12-31,0.4,3150.0,x1.5,N
742,BRC,2016-03-31,0.3,3150.0,x1.5,N
743,BRC,2016-06-30,0.4,3150.0,x1.5,N
744,BRC,2016-09-30,0.5,3150.0,x1.5,N
745,BRC,2016-12-31,0.4,3150.0,x1.5,N
746,BRC,2017-03-31,0.4,3150.0,x1.5,N
747,BRC,2017-06-30,0.5,3150.0,x1.5,N
748,BRC,2017-09-30,0.5,3150.0,x1.5,N
749,BRC,2017-12-31,0.4,3150.0,x1.5,N
750,BRC,2018-03-31,0.4,3150.0,x1.5,N
751,BRC,2018-06-30,0.4,3150.0,x1.5,N
752,BRC,2018-09-30,0.5,3150.0,x1.5,N
753,BRC,2018-12-31,0.4,3150.0,x1.5,N
