,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2022-09-30,9.002224937996782,1.6650700308073136,0.2068422209232094,0.019331251921901,2983.477281413665,16176.651432331779,0.040866317039878364,0.19901938940795427,0.01645888264720012,2.005699967766814,0.03317711341923779,0.09611276257706972,0.14565232471940748,0.37099380597882137,0.11840724066784955,0.12792940015155418,11.96939503443501,0.4990543429652994,0.34198293986163153,0.7175141348618382,0.6737153578898505,1.0934620466822067,0.6702627736777328,0.011001837904823194,0.3187885628164998,10.96939503443501,0.00808701375039747,0.05463400135200429,0.2064244546032728
2022-12-31,8.99658565605492,1.666279617062216,0.20788486413874926,0.01849980788072525,3270.229845375216,17298.35364704502,0.039958159183223374,0.20339383143187276,0.016839053757607546,1.8269844245202869,0.03523092174949219,0.09172212562769264,0.14096033163786933,0.37211339156531137,0.11491687827617024,0.059384105196467994,12.464689494365544,0.5029597008595605,0.3341206194582797,0.7045385384801797,0.6611928230715494,1.056029289922778,0.6785564615337027,0.011060405306361022,0.3281070655395929,11.464689494365548,0.012478564431748548,0.04510219818351857,0.17589913262484452
2023-03-31,7.417571834911893,1.8012691970001065,0.19875733491959977,0.01732213403265947,3358.210320221213,18236.844947973346,0.03937366501796801,0.2106400488475077,0.0194467569422929,1.6740316741424983,0.04005332907033448,0.09181281606560013,0.13934893276412055,0.3175834237029377,0.11664515757864609,-10.292262451644904,12.254807855495892,0.5373638728920617,0.3826526331210662,0.7094768929689043,0.6721063232610541,1.0576038186212513,0.681739548625112,0.013079448530932888,0.32674747596653375,11.25480785549589,0.0135562392872918,0.04400677840667939,0.14725005468705568
2023-06-30,1.9258091465803808,1.8266966652710714,0.19356797543561086,0.017173844573825352,3458.116315412436,18963.451890323606,0.03848450195053531,0.22945702444510885,0.020503380089671,1.7956389948176716,0.04546861162326939,0.09428017094618607,0.14111886518478917,0.3498387779887169,0.11479584062639066,0.00025857813286286196,11.736089491170771,0.5277474916069522,0.3647875971517886,0.7205007488141983,0.6824236241786658,1.0269367405690855,0.7135740482160847,0.01367144595449413,0.31701556862358105,10.736089491170775,0.012859536878718861,0.03273416207248593,0.12380038205861003
2023-09-30,10.56966146611028,1.8136207568775744,0.18500005289974072,0.016683219700500337,3494.7243650955893,19780.016659736357,0.03715847196406196,0.22371042869490584,0.02212775626340041,1.4372191622121429,0.049754189023953614,0.09587348987228783,0.14360095413981028,0.3622762802801329,0.11688450082402548,0.032090042181783116,11.473471950026106,0.5085256540602732,0.35102481723058754,0.7198544208424288,0.6826061517616839,1.0168337374959098,0.7180731253285589,0.014603666614328959,0.3180471563303647,10.47347195002611,0.012572956393812191,0.042129549067055114,0.12819407273625089
2023-12-31,10.113660519300147,1.6375998830921525,0.1832993946714655,0.01597512153122171,3581.0873624694514,20858.22794303816,0.035063926966974746,0.21860384536870242,0.018735447034313086,1.3725584189479487,0.04919083410534908,0.09507162650545928,0.14144248835234272,0.24461166690291328,0.11431238632076854,0.09196559176696184,11.782014592525524,0.6234526454767667,0.5294423533687764,0.7197006225094623,0.6854548470559678,1.032224028306276,0.7052710841501725,0.012662619821386462,0.3159583767291922,10.782014592525524,0.010892552306870062,0.07016482947284794,0.17839234142980465
2024-03-31,11.806619006891129,1.8758264259956063,0.1806538509906414,0.01642333898804471,3674.839401252647,21801.05847723548,0.03496561183275471,0.19898336199252772,0.020115641296589114,1.2233741616344427,0.04604348177668157,0.09842524561917408,0.14313798761263352,0.3134922775037778,0.11479141325446393,0.02116665695015487,11.371343846165628,0.5466717381069388,0.3992576147541069,0.7329928456393056,0.6988609295219538,1.0495712060574816,0.7062194074407039,0.014036809110016639,0.30458924898777107,10.37134384616563,0.010941730374860226,0.03800204460569199,0.15501042399067613
2024-06-30,10.200011337014782,1.6236335000540845,0.18242760026957253,0.016645759892953485,3749.9119559418696,22186.75113815767,0.035609331438494866,0.2060143682042137,0.020610779666927006,1.1670949907593462,0.041120635248033104,0.09665119715091768,0.14010635414748998,0.31528806107548335,0.1159024881718558,0.056475134553007275,11.492034622039334,0.5486864114967501,0.3950887976084488,0.7326261468344625,0.6993243146833817,1.0769632562312699,0.6863208919060853,0.014324304374460625,0.3035008055524581,10.492034622039334,0.011819280080012694,0.030134559168561167,0.20274698378742081
2024-09-30,9.895539589442516,1.6109759248623243,0.18332243410910976,0.017070441142787218,3923.3315681336635,23104.75072346009,0.03617381417938614,0.19179687200371354,0.02074692914382001,1.1503046419706742,0.03777682533450646,0.09740287090011536,0.1393119163836363,0.3417013066265906,0.11513797206479234,0.04122667072416434,11.446833147494301,0.5265603242728183,0.38656241273125275,0.736171464924834,0.7063575688801779,1.0827735044991955,0.6879139722647949,0.014639970866874985,0.3017142056892159,10.4468331474943,0.011088207922245175,0.03829827874999281,0.2120665736504956
2024-12-31,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
